config,declared_task_count,equal_task_attempt_cost_pareto_frontier,equal_task_cpsc_rank,equal_task_cpsc_usd,equal_task_mean_cost_per_attempt_usd,equal_task_pass_rate,equal_task_pass_rate_rank,equal_task_rank_displacement,full_basket_identified,harness,missing_task_count,missing_tasks,model,observed_task_count,provider,reasoning_effort
mini_swe_agent_claude_fable_5_high,111,False,31.0,13.419014104432028,9.268388120178278,0.6906906906906907,6.0,25.0,True,mini-swe-agent,0,[],claude-fable-5,111,vertex_ai,high
mini_swe_agent_claude_fable_5_low,111,False,16.0,6.358910411888112,3.8191654125454124,0.6006006006006006,13.0,3.0,True,mini-swe-agent,0,[],claude-fable-5,111,vertex_ai,low
mini_swe_agent_claude_fable_5_max,111,False,39.0,31.572132633671128,21.830280897605938,0.6914414414414415,4.5,34.5,True,mini-swe-agent,0,[],claude-fable-5,111,vertex_ai,max
mini_swe_agent_claude_fable_5_medium,111,False,26.0,9.295599455356012,6.12030084260302,0.6584084084084084,10.0,16.0,True,mini-swe-agent,0,[],claude-fable-5,111,vertex_ai,medium
mini_swe_agent_claude_fable_5_xhigh,111,False,35.0,19.255353714686354,13.530789096806629,0.7027027027027027,3.0,32.0,True,mini-swe-agent,0,[],claude-fable-5,111,vertex_ai,xhigh
mini_swe_agent_claude_opus_4_8_high,111,False,23.0,8.30016988961039,4.318331631756757,0.5202702702702703,21.0,2.0,True,mini-swe-agent,0,[],claude-opus-4-8,111,anthropic,high
mini_swe_agent_claude_opus_4_8_low,111,False,15.0,5.706346332096475,2.3090996043543544,0.40465465465465467,29.0,-14.0,True,mini-swe-agent,0,[],claude-opus-4-8,111,anthropic,low
mini_swe_agent_claude_opus_4_8_max,111,False,37.0,22.03062216475096,12.95043329954955,0.5878378378378378,15.0,22.0,True,mini-swe-agent,0,[],claude-opus-4-8,111,anthropic,max
mini_swe_agent_claude_opus_4_8_medium,111,False,18.0,7.1398491990740744,3.473440150900901,0.4864864864864865,24.0,-6.0,True,mini-swe-agent,0,[],claude-opus-4-8,111,anthropic,medium
mini_swe_agent_claude_opus_4_8_xhigh,111,False,32.0,14.765065912654745,8.058710899774775,0.5457957957957958,17.0,15.0,True,mini-swe-agent,0,[],claude-opus-4-8,111,anthropic,xhigh
mini_swe_agent_claude_sonnet_4_6_high,111,False,34.0,18.38063140259259,5.588705494031531,0.30405405405405406,35.0,-1.0,True,mini-swe-agent,0,[],claude-sonnet-4-6,111,anthropic,high
mini_swe_agent_claude_sonnet_5_high,111,False,33.0,15.575044720379426,7.5068909237864805,0.481981981981982,25.0,8.0,True,mini-swe-agent,0,[],claude-sonnet-5,111,anthropic,high
mini_swe_agent_claude_sonnet_5_low,111,False,20.0,7.37331909924812,2.208674414864865,0.29954954954954954,36.0,-16.0,True,mini-swe-agent,0,[],claude-sonnet-5,111,anthropic,low
mini_swe_agent_claude_sonnet_5_max,111,False,40.0,49.58839191914893,26.246108335585586,0.5292792792792793,20.0,20.0,True,mini-swe-agent,0,[],claude-sonnet-5,111,anthropic,max
mini_swe_agent_claude_sonnet_5_medium,111,False,27.0,10.337951668926554,4.121210462612613,0.39864864864864863,30.0,-3.0,True,mini-swe-agent,0,[],claude-sonnet-5,111,anthropic,medium
mini_swe_agent_claude_sonnet_5_xhigh,111,False,38.0,24.39570507127659,12.051331784459459,0.493993993993994,23.0,15.0,True,mini-swe-agent,0,[],claude-sonnet-5,111,anthropic,xhigh
mini_swe_agent_gemini_3_1_pro_preview_high,111,False,41.0,83.4853783633987,9.589536703903905,0.11486486486486487,39.0,2.0,True,mini-swe-agent,0,[],gemini-3-1-pro-preview,111,vertex_ai,high
mini_swe_agent_gemini_3_5_flash_medium,111,False,36.0,19.73409067319277,7.378060927364865,0.3738738738738739,31.0,5.0,True,mini-swe-agent,0,[],gemini-3-5-flash,111,vertex_ai,medium
mini_swe_agent_glm_5_2_high,111,False,21.0,7.918867568447205,2.871481257927928,0.36261261261261263,32.0,-11.0,True,mini-swe-agent,0,[],glm-5-2,111,zai,high
mini_swe_agent_glm_5_2_max,111,False,24.0,8.941081847174281,3.9671016303903905,0.4436936936936937,27.0,-3.0,True,mini-swe-agent,0,[],glm-5-2,111,zai,max
mini_swe_agent_gpt_5_4_xhigh,111,False,29.0,11.06929225982533,5.709161998873874,0.5157657657657657,22.0,7.0,True,mini-swe-agent,0,[],gpt-5-4,111,openai,xhigh
mini_swe_agent_gpt_5_5_high,111,False,22.0,7.9822155,5.141697371621621,0.6441441441441441,11.0,11.0,True,mini-swe-agent,0,[],gpt-5-5,111,openai,high
mini_swe_agent_gpt_5_5_low,111,False,10.0,4.464064191666667,1.2065038355855857,0.2702702702702703,37.0,-27.0,True,mini-swe-agent,0,[],gpt-5-5,111,openai,low
mini_swe_agent_gpt_5_5_medium,111,False,14.0,5.214571483050848,2.7717091666666667,0.5315315315315315,18.5,-4.5,True,mini-swe-agent,0,[],gpt-5-5,111,openai,medium
mini_swe_agent_gpt_5_5_xhigh,111,False,28.0,10.975959488135594,7.292585695945946,0.6644144144144144,9.0,19.0,True,mini-swe-agent,0,[],gpt-5-5,111,openai,xhigh
mini_swe_agent_gpt_5_6_luna_high,111,True,2.0,1.8014777409326426,0.7830747837837838,0.4346846846846847,28.0,-26.0,True,mini-swe-agent,0,[],gpt-5-6-luna,111,openai,high
mini_swe_agent_gpt_5_6_luna_low,111,True,11.0,4.600703628571429,0.07253361576576577,0.015765765765765764,41.0,-30.0,True,mini-swe-agent,0,[],gpt-5-6-luna,111,openai,low
mini_swe_agent_gpt_5_6_luna_max,111,True,12.0,4.711741671156004,3.1517731448948947,0.668918918918919,8.0,4.0,True,mini-swe-agent,0,[],gpt-5-6-luna,111,openai,max
mini_swe_agent_gpt_5_6_luna_medium,111,True,4.0,1.9294079800000001,0.21727567342342344,0.11261261261261261,40.0,-36.0,True,mini-swe-agent,0,[],gpt-5-6-luna,111,openai,medium
mini_swe_agent_gpt_5_6_luna_xhigh,111,True,7.0,2.7597066441767066,1.5476733207207207,0.5608108108108109,16.0,-9.0,True,mini-swe-agent,0,[],gpt-5-6-luna,111,openai,xhigh
mini_swe_agent_gpt_5_6_sol_high,111,True,13.0,5.078261102620087,3.492257635135135,0.6876876876876877,7.0,6.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,high
mini_swe_agent_gpt_5_6_sol_low,111,True,6.0,2.4140081155778894,1.0819540878378378,0.44819819819819817,26.0,-20.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,low
mini_swe_agent_gpt_5_6_sol_max,111,True,30.0,11.665341202492211,8.43372640990991,0.722972972972973,1.0,29.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,max
mini_swe_agent_gpt_5_6_sol_medium,111,True,8.0,3.0997454981412638,1.8779989617117117,0.6058558558558559,12.0,-4.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,medium
mini_swe_agent_gpt_5_6_sol_xhigh,111,True,17.0,6.706385768577495,4.74280434984985,0.7072072072072072,2.0,15.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,xhigh
mini_swe_agent_gpt_5_6_terra_high,111,True,5.0,2.149576686440678,1.1425677882882883,0.5315315315315315,18.5,-13.5,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,high
mini_swe_agent_gpt_5_6_terra_low,111,True,3.0,1.825968982428115,0.4290752939189189,0.234984984984985,38.0,-35.0,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,low
mini_swe_agent_gpt_5_6_terra_max,111,False,19.0,7.243571566775243,5.008505565315315,0.6914414414414415,4.5,14.5,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,max
mini_swe_agent_gpt_5_6_terra_medium,111,True,1.0,1.713466942982456,0.5865922867867868,0.34234234234234234,33.0,-32.0,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,medium
mini_swe_agent_gpt_5_6_terra_xhigh,111,False,9.0,3.574617197368421,2.1415499425675675,0.5990990990990991,14.0,-5.0,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,xhigh
mini_swe_agent_kimi_k2_7_code_default,111,False,25.0,9.283129559044118,2.843481126193694,0.3063063063063063,34.0,-9.0,True,mini-swe-agent,0,[],kimi-k2-7-code,111,openrouter,
