config,config_mean_attempt_cost_pareto_frontier,config_mean_cpsc_rank,config_mean_cpsc_rank_change,excluded_attempts,excluded_error_categories,excluded_missing_cost_rows,excluded_reported_cost_rows,excluded_reported_cost_usd,excluded_task_cells,exclusions_as_failures_config_mean_attempt_cost_usd,exclusions_as_failures_config_mean_cost_cpsc_usd,exclusions_as_failures_observed_cost_cpsc_lower_bound_usd,exclusions_as_failures_pass_rate,included_attempt_cost_pareto_frontier,included_attempts,included_cpsc_rank,included_cpsc_usd,included_pass_rate,included_successes,source_attempts,tasks_with_all_attempts_excluded
mini_swe_agent_claude_fable_5_high,False,31.0,0.0,22,"{""model_routing_404"": 22}",22,0,0,22,9.177638214788733,14.062008383337313,13.377574346980188,0.6526548672566371,False,430,31.0,13.377574346980188,0.686046511627907,295,452,0
mini_swe_agent_claude_fable_5_low,False,16.0,0.0,19,"{""model_routing_404"": 19}",19,0,0,19,3.757873125874126,6.583560670136065,6.306818075594948,0.5707964601769911,False,433,16.0,6.306818075594948,0.5958429561200924,258,452,0
mini_swe_agent_claude_fable_5_max,False,39.0,0.0,16,"{""model_routing_404"": 16}",16,0,0,16,21.634702092592597,32.167386006091625,31.028717474902535,0.672566371681416,False,436,39.0,31.028717474902535,0.6972477064220184,304,452,0
mini_swe_agent_claude_fable_5_medium,False,26.0,0.0,16,"{""model_routing_404"": 16}",15,1,36.3237815,16,6.155079438163205,9.761740021227258,9.441309151283301,0.6305309734513275,False,436,26.0,9.31385728637102,0.6536697247706422,285,452,0
mini_swe_agent_claude_fable_5_xhigh,False,35.0,0.0,0,{},0,0,0,0,13.414521495535714,19.187859860702982,19.187859860702982,0.6991150442477876,False,452,35.0,19.187859860702982,0.6991150442477876,316,452,0
mini_swe_agent_claude_opus_4_8_high,False,23.0,0.0,0,{},0,0,0,0,4.281940017699115,8.271097811965811,8.271097811965811,0.5176991150442478,False,452,23.0,8.271097811965811,0.5176991150442478,234,452,0
mini_swe_agent_claude_opus_4_8_low,False,15.0,0.0,1,"{""verifier_timeout"": 1}",0,1,0.90258525,1,2.2902922610619467,5.62615272826087,5.62615272826087,0.40707964601769914,False,451,15.0,5.621247373641305,0.4079822616407982,184,452,0
mini_swe_agent_claude_opus_4_8_max,False,37.0,0.0,23,"{""provider_timeout"": 21, ""upstream_provider_error"": 2}",0,23,12.099757,10,12.576522386061946,22.46872774110672,22.46872774110672,0.5597345132743363,False,429,37.0,22.420902614624506,0.5897435897435898,253,452,2
mini_swe_agent_claude_opus_4_8_medium,False,18.0,0.0,0,{},0,0,0,0,3.4438571028761062,7.075560956818182,7.075560956818182,0.48672566371681414,False,452,18.0,7.075560956818182,0.48672566371681414,220,452,0
mini_swe_agent_claude_opus_4_8_xhigh,False,32.0,0.0,5,"{""provider_timeout"": 5}",0,5,2.33469675,3,7.922955080752212,14.737348545267489,14.737348545267489,0.5376106194690266,False,447,32.0,14.727740739711933,0.5436241610738255,243,452,0
mini_swe_agent_claude_sonnet_4_6_high,False,34.0,0.0,1,"{""provider_timeout"": 1}",0,1,0.5532706500000001,1,5.511358256415929,18.452843939999998,18.452843939999998,0.29867256637168144,False,451,34.0,18.44874563888889,0.29933481152993346,135,452,0
mini_swe_agent_claude_sonnet_5_high,False,33.0,0.0,0,{},0,0,0,0,7.425560161197339,15.396115563583475,15.396115563583475,0.4823008849557522,False,452,33.0,15.396115563583475,0.4823008849557522,218,452,0
mini_swe_agent_claude_sonnet_5_low,False,20.0,0.0,3,"{""verifier_timeout"": 3}",0,3,7.752154199999996,1,2.1891933331858406,7.222740048175182,7.222740048175182,0.3030973451327434,False,449,20.0,7.166154981021898,0.3051224944320713,137,452,0
mini_swe_agent_claude_sonnet_5_max,False,40.0,0.0,10,"{""provider_timeout"": 8, ""rate_limit"": 1, ""upstream_provider_error"": 1}",0,10,8.9126178,7,25.83550945586283,49.065757453991594,49.065757453991594,0.5265486725663717,False,442,40.0,49.02830948004201,0.5384615384615384,238,452,0
mini_swe_agent_claude_sonnet_5_medium,False,27.0,0.0,2,"{""unclassified_exception"": 1, ""verifier_timeout"": 1}",0,2,5.734851449999999,2,4.0736751205752215,10.28659862849162,10.28659862849162,0.39601769911504425,False,450,27.0,10.254560352234638,0.3977777777777778,179,452,0
mini_swe_agent_claude_sonnet_5_xhigh,False,38.0,0.0,1,"{""verifier_timeout"": 1}",0,1,16.910069399999998,1,11.901739484402654,24.016010031026784,24.016010031026784,0.49557522123893805,False,451,38.0,23.940518649776784,0.49667405764966743,224,452,0
mini_swe_agent_gemini_3_1_pro_preview_high,False,41.0,0.0,1,"{""provider_timeout"": 1}",0,1,0.9733537999999999,1,9.462695374778761,80.70072281886793,80.70072281886793,0.1172566371681416,False,451,41.0,80.68235765283019,0.11751662971175167,53,452,0
mini_swe_agent_gemini_3_5_flash_medium,False,36.0,0.0,0,{},0,0,0,0,7.341823985508849,19.636120955325442,19.636120955325442,0.37389380530973454,False,452,36.0,19.636120955325442,0.37389380530973454,169,452,0
mini_swe_agent_glm_5_2_high,False,21.0,0.0,0,{},0,0,0,0,2.8355164725663715,7.814960034146341,7.814960034146341,0.36283185840707965,False,452,21.0,7.814960034146341,0.36283185840707965,164,452,0
mini_swe_agent_glm_5_2_max,False,24.0,0.0,2,"{""unclassified_exception"": 1, ""verifier_timeout"": 1}",0,2,2.8825408799999996,2,3.908940153362832,8.968735783350255,8.968735783350255,0.4358407079646018,False,450,24.0,8.954103596142133,0.43777777777777777,197,452,0
mini_swe_agent_gpt_5_4_xhigh,False,29.0,0.0,0,{},0,0,0,0,5.6524577245575225,10.918422613247865,10.918422613247865,0.5176991150442478,False,452,29.0,10.918422613247865,0.5176991150442478,234,452,0
mini_swe_agent_gpt_5_5_high,False,22.0,0.0,0,{},0,0,0,0,5.100437004424779,7.9223282680412375,7.9223282680412375,0.6438053097345132,False,452,22.0,7.9223282680412375,0.6438053097345132,291,452,0
mini_swe_agent_gpt_5_5_low,False,10.0,0.0,0,{},0,0,0,0,1.2002025442477877,4.4466520491803285,4.4466520491803285,0.26991150442477874,False,452,10.0,4.4466520491803285,0.26991150442477874,122,452,0
mini_swe_agent_gpt_5_5_medium,False,14.0,0.0,0,{},0,0,0,0,2.749342734513274,5.0930447377049175,5.0930447377049175,0.5398230088495575,False,452,14.0,5.0930447377049175,0.5398230088495575,244,452,0
mini_swe_agent_gpt_5_5_xhigh,False,28.0,0.0,0,{},0,0,0,0,7.226236674778761,10.779732597359736,10.779732597359736,0.6703539823008849,False,452,28.0,10.779732597359736,0.6703539823008849,303,452,0
mini_swe_agent_gpt_5_6_luna_high,True,2.0,0.0,0,{},0,0,0,0,0.7779007499999999,1.758055695,1.758055695,0.4424778761061947,True,452,2.0,1.758055695,0.4424778761061947,200,452,0
mini_swe_agent_gpt_5_6_luna_low,True,12.0,0.0,0,{},0,0,0,0,0.07240623938053097,4.675374314285714,4.675374314285714,0.015486725663716814,True,452,12.0,4.675374314285714,0.015486725663716814,7,452,0
mini_swe_agent_gpt_5_6_luna_max,True,11.0,0.0,0,{},0,0,0,0,3.028116810267857,4.506964554817276,4.506964554817276,0.671875,True,448,11.0,4.506964554817276,0.671875,301,448,0
mini_swe_agent_gpt_5_6_luna_medium,True,4.0,0.0,0,{},0,0,0,0,0.21630978982300886,1.9170985294117646,1.9170985294117646,0.11283185840707964,True,452,4.0,1.9170985294117646,0.11283185840707964,51,452,0
mini_swe_agent_gpt_5_6_luna_xhigh,True,7.0,0.0,0,{},0,0,0,0,1.5356192685840708,2.7007778575875485,2.7007778575875485,0.5685840707964602,True,452,7.0,2.7007778575875485,0.5685840707964602,257,452,0
mini_swe_agent_gpt_5_6_sol_high,True,13.0,0.0,1,"{""verifier_timeout"": 1}",0,1,2.347349,1,3.467349738938053,5.0071632012779554,5.0071632012779554,0.6924778761061947,True,451,13.0,4.99966368370607,0.6940133037694013,313,452,0
mini_swe_agent_gpt_5_6_sol_low,True,6.0,0.0,0,{},0,0,0,0,1.0742664646017699,2.3686265463414635,2.3686265463414635,0.45353982300884954,True,452,6.0,2.3686265463414635,0.45353982300884954,205,452,0
mini_swe_agent_gpt_5_6_sol_max,True,30.0,0.0,2,"{""verifier_timeout"": 2}",0,2,9.357631999999999,1,8.370030946902656,11.56958406116208,11.56958406116208,0.7234513274336283,True,450,30.0,11.540967449541284,0.7266666666666667,327,452,0
mini_swe_agent_gpt_5_6_sol_medium,True,8.0,0.0,0,{},0,0,0,0,1.8620318075221238,3.0494144094202897,3.0494144094202897,0.6106194690265486,True,452,8.0,3.0494144094202897,0.6106194690265486,276,452,0
mini_swe_agent_gpt_5_6_sol_xhigh,True,17.0,0.0,1,"{""verifier_timeout"": 1}",0,1,6.466674,1,4.707564325221239,6.670279231974921,6.670279231974921,0.7057522123893806,True,451,17.0,6.650007526645768,0.7073170731707317,319,452,0
mini_swe_agent_gpt_5_6_terra_high,True,5.0,0.0,0,{},0,0,0,0,1.1343762765486725,2.1100332386831275,2.1100332386831275,0.5376106194690266,True,452,5.0,2.1100332386831275,0.5376106194690266,243,452,0
mini_swe_agent_gpt_5_6_terra_low,True,3.0,0.0,0,{},0,0,0,0,0.4277452605790646,1.7783113148148149,1.7783113148148149,0.24053452115812918,True,449,3.0,1.7783113148148149,0.24053452115812918,108,449,0
mini_swe_agent_gpt_5_6_terra_max,False,19.0,0.0,0,{},0,0,0,0,4.945847263858093,7.103748777070064,7.103748777070064,0.6962305986696231,False,451,19.0,7.103748777070064,0.6962305986696231,314,451,0
mini_swe_agent_gpt_5_6_terra_medium,True,1.0,0.0,0,{},0,0,0,0,0.5832493688888889,1.661153265822785,1.661153265822785,0.3511111111111111,True,450,1.0,1.661153265822785,0.3511111111111111,158,450,0
mini_swe_agent_gpt_5_6_terra_xhigh,False,9.0,0.0,0,{},0,0,0,0,2.127191725663717,3.534892132352941,3.534892132352941,0.6017699115044248,False,452,9.0,3.534892132352941,0.6017699115044248,272,452,0
mini_swe_agent_kimi_k2_7_code_default,False,25.0,0.0,0,{},0,0,0,0,2.815536243274336,9.221901318550724,9.221901318550724,0.3053097345132743,False,452,25.0,9.221901318550724,0.3053097345132743,138,452,0
