attempts,comparison_panel_configurations,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,stratum,successes,target_family_configurations,target_model_family,task_coverage_rate,tasks_in_stratum,tasks_with_any_success,total_cost_usd
82,36,10.220843568627451,11.371421387096774,mini_swe_agent_claude_fable_5_high,51,mini-swe-agent,0,10.655818109756098,claude-fable-5,82,0.3780487804878049,3.0,vertex_ai,0.0,3.0,28.186357580645158,0.5965629345841681,16.814936193548387,high,rare,31,5,claude-fable-5,0.6363636363636364,22,14,873.7770849999999
86,36,4.403849913793104,3.93000675,mini_swe_agent_claude_fable_5_low,58,mini-swe-agent,0,4.249575395348837,claude-fable-5,86,0.32558139534883723,5.0,vertex_ai,-4.0,1.0,13.052267285714288,0.6989023696824387,9.122260535714288,low,rare,28,5,claude-fable-5,0.5909090909090909,22,13,365.46348400000005
85,36,23.32839941,25.4700599,mini_swe_agent_claude_fable_5_max,50,mini-swe-agent,0,24.210259611764705,claude-fable-5,85,0.4117647058823529,1.0,vertex_ai,4.0,5.0,58.796344771428565,0.5668087871956133,33.32628487142857,max,rare,35,5,claude-fable-5,0.6363636363636364,22,14,2057.872067
84,36,7.422586594339623,6.651616903225807,mini_swe_agent_claude_fable_5_medium,53,mini-swe-agent,0,7.13806206547619,claude-fable-5,84,0.36904761904761907,4.0,vertex_ai,-2.0,2.0,19.341845596774192,0.6561022643911938,12.690228693548388,medium,rare,31,5,claude-fable-5,0.6363636363636364,22,14,599.5972135
88,36,14.630381537735849,17.62384772857143,mini_swe_agent_claude_fable_5_xhigh,53,mini-swe-agent,0,15.820964681818182,claude-fable-5,88,0.3977272727272727,2.0,vertex_ai,2.0,4.0,39.77842548571429,0.5569495897996083,22.154577757142857,xhigh,rare,35,5,claude-fable-5,0.7272727272727273,22,16,1392.244892
144,36,7.827305986649061,11.020352807291667,mini_swe_agent_claude_fable_5_high,48,mini-swe-agent,4,9.956003867077465,claude-fable-5,140,0.6666666666666666,2.0,vertex_ai,1.0,3.0,14.934005800616198,0.2620631761883371,3.9136529933245305,high,contested,96,5,claude-fable-5,0.868421052631579,38,33,1433.664556859155
144,36,4.001945461592254,4.452046265822784,mini_swe_agent_claude_fable_5_low,65,mini-swe-agent,4,4.24887576391317,claude-fable-5,140,0.5486111111111112,5.0,vertex_ai,-4.0,1.0,7.744786202575905,0.4251556919231625,3.292739936753121,low,contested,79,5,claude-fable-5,0.7894736842105263,38,30,611.8381100034965
145,36,19.92771363000756,22.476835760416666,mini_swe_agent_claude_fable_5_max,49,mini-swe-agent,4,21.615408281864624,claude-fable-5,141,0.6620689655172414,3.0,vertex_ai,2.0,5.0,32.648272925733025,0.31154594879961744,10.171437165316357,max,contested,96,5,claude-fable-5,0.8157894736842105,38,31,3134.2342008703704
147,36,5.696132885262346,7.355086890804597,mini_swe_agent_claude_fable_5_medium,60,mini-swe-agent,4,6.6779628069098,claude-fable-5,143,0.5918367346938775,4.0,vertex_ai,-2.0,2.0,11.283454397882078,0.3481529120917829,3.92836750707748,medium,contested,87,5,claude-fable-5,0.7894736842105263,38,30,981.6605326157407
152,36,12.228146399642858,14.311134941176471,mini_swe_agent_claude_fable_5_xhigh,50,mini-swe-agent,4,13.625941341987781,claude-fable-5,148,0.6710526315789473,1.0,vertex_ai,3.0,4.0,20.305324352766107,0.2952028397799552,5.994189411589636,xhigh,contested,102,5,claude-fable-5,0.868421052631579,38,33,2071.143083982143
204,36,6.293838000000001,8.406932276785714,mini_swe_agent_claude_fable_5_high,36,mini-swe-agent,0,8.034033286764705,claude-fable-5,204,0.8235294117647058,3.0,vertex_ai,0.0,3.0,9.755611848214286,0.13824653875250686,1.3486795714285715,high,common,168,5,claude-fable-5,0.9622641509433962,53,51,1638.9427905
203,36,3.5193758365384613,3.0917213642384107,mini_swe_agent_claude_fable_5_low,52,mini-swe-agent,0,3.2012683226600984,claude-fable-5,203,0.7438423645320197,5.0,vertex_ai,-4.0,1.0,4.303691850993378,0.2816118181126792,1.2119704867549668,low,common,151,5,claude-fable-5,0.9245283018867925,53,49,649.8574695
206,36,18.43960753030303,20.994894774566472,mini_swe_agent_claude_fable_5_max,33,mini-swe-agent,0,20.585552643203883,claude-fable-5,206,0.8398058252427184,2.0,vertex_ai,3.0,5.0,24.512276557803467,0.143494700500074,3.517381783236994,max,common,173,5,claude-fable-5,0.9433962264150944,53,50,4240.6238445
205,36,4.724296355263158,5.351307299401197,mini_swe_agent_claude_fable_5_medium,38,mini-swe-agent,0,5.235080880487804,claude-fable-5,205,0.8146341463414634,4.0,vertex_ai,-2.0,2.0,6.426296889221556,0.16727978933301002,1.0749895898203594,medium,common,167,5,claude-fable-5,0.9433962264150944,53,50,1073.1915804999999
212,36,11.401919621212121,12.422974259776536,mini_swe_agent_claude_fable_5_xhigh,33,mini-swe-agent,0,12.264036509433963,claude-fable-5,212,0.8443396226415094,1.0,vertex_ai,3.0,4.0,14.52500413407821,0.1447180224458556,2.102029874301676,xhigh,common,179,5,claude-fable-5,0.9622641509433962,53,51,2599.97574
68,36,5.2546683454545455,4.218022557692308,mini_swe_agent_claude_opus_4_8_high,55,mini-swe-agent,0,5.0564860625,claude-opus-4-8,68,0.19117647058823528,4.0,anthropic,-1.0,3.0,26.449311711538463,0.8405242978080143,22.231289153846156,high,rare,13,5,claude-opus-4-8,0.47058823529411764,17,8,343.84105225
68,36,2.831418525,2.35265021875,mini_swe_agent_claude_opus_4_8_low,60,mini-swe-agent,0,2.7750928419117646,claude-opus-4-8,68,0.11764705882352941,5.0,anthropic,-3.0,2.0,23.588289156250003,0.9002619391696477,21.2356389375,low,rare,8,5,claude-opus-4-8,0.29411764705882354,17,5,188.70631325000002
65,36,14.649380176470588,14.729908517857142,mini_swe_agent_claude_opus_4_8_max,51,mini-swe-agent,0,14.666724742307691,claude-opus-4-8,65,0.2153846153846154,1.0,anthropic,4.0,5.0,68.09550773214285,0.783687514662524,53.365599214285716,max,rare,14,5,claude-opus-4-8,0.35294117647058826,17,6,953.3371082499999
68,36,4.298226541666667,4.027831553571429,mini_swe_agent_claude_opus_4_8_medium,54,mini-swe-agent,0,4.242556985294118,claude-opus-4-8,68,0.20588235294117646,2.5,anthropic,-1.5,1.0,20.606705357142857,0.8045378199103881,16.57887380357143,medium,rare,14,5,claude-opus-4-8,0.5294117647058824,17,9,288.493875
68,36,9.983562726851853,7.998834375,mini_swe_agent_claude_opus_4_8_xhigh,54,mini-swe-agent,0,9.574942183823529,claude-opus-4-8,68,0.20588235294117646,2.5,anthropic,1.5,4.0,46.506862035714285,0.8280074375076649,38.50802766071429,xhigh,rare,14,5,claude-opus-4-8,0.47058823529411764,17,8,651.0960685
172,36,4.385676997368421,4.829277357142857,mini_swe_agent_claude_opus_4_8_high,95,mini-swe-agent,0,4.584265530523256,claude-opus-4-8,172,0.4476744186046512,3.0,anthropic,0.0,3.0,10.240177548701299,0.5283990600577696,5.410900191558442,high,contested,77,5,claude-opus-4-8,0.6976744186046512,43,30,788.49367125
171,36,2.4783570137795277,2.2984345113636366,mini_swe_agent_claude_opus_4_8_low,127,mini-swe-agent,0,2.4320611652046784,claude-opus-4-8,171,0.2573099415204678,5.0,anthropic,-3.0,2.0,9.451874073863637,0.7568276414389313,7.1534395625,low,contested,44,5,claude-opus-4-8,0.6046511627906976,43,26,415.88245925
164,36,13.28280065,13.940448333333332,mini_swe_agent_claude_opus_4_8_max,80,mini-swe-agent,0,13.619644585365853,claude-opus-4-8,164,0.5121951219512195,1.0,anthropic,4.0,5.0,26.59073466666667,0.4757403844577241,12.650286333333334,max,contested,84,5,claude-opus-4-8,0.7441860465116279,43,32,2233.621712
172,36,3.5681993455882353,3.8558558535714287,mini_swe_agent_claude_opus_4_8_medium,102,mini-swe-agent,0,3.685268854651163,claude-opus-4-8,172,0.4069767441860465,4.0,anthropic,-3.0,1.0,9.055232042857144,0.5741847547006853,5.199376189285714,medium,contested,70,5,claude-opus-4-8,0.6976744186046512,43,30,633.866243
170,36,7.723108991279069,8.876609422619048,mini_swe_agent_claude_opus_4_8_xhigh,86,mini-swe-agent,0,8.293073910294117,claude-opus-4-8,170,0.49411764705882355,2.0,anthropic,2.0,4.0,16.78360196130952,0.47111415993528133,7.906992538690475,xhigh,contested,84,5,claude-opus-4-8,0.7906976744186046,43,34,1409.8225647499999
212,36,3.1866838713235293,4.072275425347223,mini_swe_agent_claude_opus_4_8_high,68,mini-swe-agent,0,3.7882177570754716,claude-opus-4-8,212,0.6792452830188679,3.0,anthropic,0.0,3.0,5.577098364583334,0.26982183939811805,1.504822939236111,high,common,144,5,claude-opus-4-8,0.9433962264150944,53,50,803.1021645000001
212,36,1.988627465625,2.0502314166666666,mini_swe_agent_claude_opus_4_8_low,80,mini-swe-agent,0,2.0269846426886793,claude-opus-4-8,212,0.6226415094339622,5.0,anthropic,-4.0,1.0,3.2554601837121213,0.3702176340769009,1.2052287670454547,low,common,132,5,claude-opus-4-8,0.8679245283018868,53,46,429.72074425
200,36,11.11300291111111,12.809318775806451,mini_swe_agent_claude_opus_4_8_max,45,mini-swe-agent,0,12.42764770625,claude-opus-4-8,200,0.775,1.0,anthropic,4.0,5.0,16.03567445967742,0.201198626972867,3.2263556838709677,max,common,155,5,claude-opus-4-8,0.9433962264150944,53,50,2485.52954125
212,36,2.7486682861842104,3.127680167279412,mini_swe_agent_claude_opus_4_8_medium,76,mini-swe-agent,0,2.991807983490566,claude-opus-4-8,212,0.6415094339622641,4.0,anthropic,-2.0,2.0,4.663700680147059,0.32935658143892976,1.536020512867647,medium,common,136,5,claude-opus-4-8,0.8867924528301887,53,47,634.2632925
209,36,6.586693925781249,7.5611996913793105,mini_swe_agent_claude_opus_4_8_xhigh,64,mini-swe-agent,0,7.262786442583732,claude-opus-4-8,209,0.69377990430622,2.0,anthropic,2.0,4.0,10.468430113793103,0.2777140785019192,2.9072304224137926,xhigh,common,145,5,claude-opus-4-8,0.9245283018867925,53,49,1517.9223665
76,40,6.410617515671642,7.0206382666666665,mini_swe_agent_claude_sonnet_4_6_high,67,mini-swe-agent,0,6.482856815131579,claude-sonnet-4-6,76,0.11842105263157894,1.0,anthropic,0.0,1.0,54.74412421666666,0.871755400837534,47.72348595,high,rare,9,1,claude-sonnet-4-6,0.2631578947368421,19,5,492.69711794999995
135,40,5.6730354323529415,6.338186395454546,mini_swe_agent_claude_sonnet_4_6_high,102,mini-swe-agent,0,5.8356278900000005,claude-sonnet-4-6,135,0.24444444444444444,1.0,anthropic,0.0,1.0,23.87302318636364,0.7345042416297345,17.534836790909093,high,contested,33,1,claude-sonnet-4-6,0.5294117647058824,34,18,787.8097651500001
240,40,5.00677227244898,5.09761563548387,mini_swe_agent_claude_sonnet_4_6_high,147,mini-swe-agent,0,5.041974075624999,claude-sonnet-4-6,240,0.3875,1.0,anthropic,0.0,1.0,13.011546001612903,0.60822367804318,7.913930366129032,high,common,93,1,claude-sonnet-4-6,0.6833333333333333,60,41,1210.07377815
64,36,9.569602092857144,13.747134656250001,mini_swe_agent_claude_sonnet_5_high,56,mini-swe-agent,0,10.091793663281251,claude-sonnet-5,64,0.125,3.0,anthropic,0.0,3.0,80.73434930625001,0.8297238440096554,66.98721465000001,high,rare,8,5,claude-sonnet-5,0.375,16,6,645.8747944500001
64,36,2.671487570338983,3.42368487,mini_swe_agent_claude_sonnet_5_low,59,mini-swe-agent,0,2.730252984375,claude-sonnet-5,64,0.078125,4.0,anthropic,-3.0,1.0,34.9472382,0.9020327486135944,31.523553330000002,low,rare,5,5,claude-sonnet-5,0.25,16,4,174.736191
64,36,29.214927871428568,35.52671507045454,mini_swe_agent_claude_sonnet_5_max,42,mini-swe-agent,0,31.384604721093748,claude-sonnet-5,64,0.34375,1.0,anthropic,3.0,4.0,91.30066827954545,0.6108822011939887,55.773953209090905,max,rare,22,5,claude-sonnet-5,0.6875,16,11,2008.6147021499999
64,36,4.8173489425,6.273142387500001,mini_swe_agent_claude_sonnet_5_medium,60,mini-swe-agent,0,4.9083360328125,claude-sonnet-5,64,0.0625,5.0,anthropic,-3.0,2.0,78.533376525,0.9201213208309841,72.26023413749999,medium,rare,4,5,claude-sonnet-5,0.1875,16,3,314.1335061
64,36,14.614048766666667,18.665629035,mini_swe_agent_claude_sonnet_5_xhigh,54,mini-swe-agent,0,15.247108183593749,claude-sonnet-5,64,0.15625,2.0,anthropic,3.0,5.0,97.581492375,0.808717528491273,78.91586334,xhigh,rare,10,5,claude-sonnet-5,0.375,16,6,975.8149237499999
168,36,6.264831119318182,7.5409533712500005,mini_swe_agent_claude_sonnet_5_high,88,mini-swe-agent,0,6.872508382142857,claude-sonnet-5,168,0.47619047619047616,3.0,anthropic,0.0,3.0,14.4322676025,0.47749351807031815,6.891314231250001,high,contested,80,5,claude-sonnet-5,0.8333333333333334,42,35,1154.5814082
168,36,2.3248160363636363,1.9710387916666665,mini_swe_agent_claude_sonnet_5_low,132,mini-swe-agent,0,2.2490066267857145,claude-sonnet-5,168,0.21428571428571427,5.0,anthropic,-4.0,1.0,10.495364258333332,0.8121991058955711,8.524325466666665,low,contested,36,5,claude-sonnet-5,0.5,42,21,377.8331133
163,36,22.10081498653846,27.65942319882353,mini_swe_agent_claude_sonnet_5_max,78,mini-swe-agent,0,24.999475710736196,claude-sonnet-5,163,0.5214723926380368,1.0,anthropic,4.0,5.0,47.94017106882353,0.4230428765238383,20.28074787,max,contested,85,5,claude-sonnet-5,0.7619047619047619,42,32,4074.91454085
168,36,3.731200640366972,4.2167390466101695,mini_swe_agent_claude_sonnet_5_medium,109,mini-swe-agent,0,3.9017171044642858,claude-sonnet-5,168,0.35119047619047616,4.0,anthropic,-2.0,2.0,11.109974127966101,0.6204546475049149,6.8932350813559315,medium,contested,59,5,claude-sonnet-5,0.6428571428571429,42,27,655.48847355
167,36,10.282330603448276,12.794163086249998,mini_swe_agent_claude_sonnet_5_xhigh,87,mini-swe-agent,0,11.485603649101796,claude-sonnet-5,167,0.47904191616766467,2.0,anthropic,2.0,4.0,23.9761976175,0.46638064590727013,11.18203453125,xhigh,contested,80,5,claude-sonnet-5,0.7857142857142857,42,33,1918.0958094
220,36,6.9031492949999995,7.189335028163056,mini_swe_agent_claude_sonnet_5_high,90,mini-swe-agent,1,7.0722590464145325,claude-sonnet-5,219,0.5909090909090909,3.0,anthropic,0.0,3.0,11.968438386239978,0.39930884914538406,4.779103358076923,high,common,130,5,claude-sonnet-5,0.8909090909090909,55,49,1555.8969902111971
217,36,2.091904473966942,1.8340988203125,mini_swe_agent_claude_sonnet_5_low,121,mini-swe-agent,0,1.9778522032258063,claude-sonnet-5,217,0.4423963133640553,5.0,anthropic,-4.0,1.0,4.470770084375,0.5897577406803952,2.6366712640625,low,common,96,5,claude-sonnet-5,0.7272727272727273,55,40,429.1939281
215,36,25.610498089285713,26.213179952290076,mini_swe_agent_claude_sonnet_5_max,84,mini-swe-agent,0,25.97771355,claude-sonnet-5,215,0.6093023255813953,1.0,anthropic,4.0,5.0,42.63517872709924,0.3851748547818615,16.421998774809158,max,common,131,5,claude-sonnet-5,0.8363636363636363,55,46,5585.20841325
218,36,4.145282851470588,3.8200471771551725,mini_swe_agent_claude_sonnet_5_medium,102,mini-swe-agent,0,3.972221666972477,claude-sonnet-5,218,0.5321100917431193,4.0,anthropic,-2.0,2.0,7.465037270689655,0.4882748687466019,3.6449900935344828,medium,common,116,5,claude-sonnet-5,0.7818181818181819,55,43,865.9443234
220,36,10.205761250581395,11.873656543656717,mini_swe_agent_claude_sonnet_5_xhigh,86,mini-swe-agent,0,11.221661110909091,claude-sonnet-5,220,0.6090909090909091,2.0,anthropic,2.0,4.0,18.423622719402985,0.3555199905851371,6.549966175746268,xhigh,common,134,5,claude-sonnet-5,0.8363636363636363,55,46,2468.7654444
72,40,11.653920205882354,8.372560149999998,mini_swe_agent_gemini_3_1_pro_preview_high,68,mini-swe-agent,0,11.471622425,gemini-3-1-pro-preview,72,0.05555555555555555,1.0,vertex_ai,0.0,1.0,206.48920365,0.9594527946158796,198.1166435,high,rare,4,1,gemini-3-1-pro-preview,0.16666666666666666,18,3,825.9568146
120,40,8.296327612068966,22.648450999999998,mini_swe_agent_gemini_3_1_pro_preview_high,116,mini-swe-agent,0,8.774731725,gemini-3-1-pro-preview,120,0.03333333333333333,1.0,vertex_ai,0.0,1.0,263.24195175,0.913963367732856,240.59350075,high,contested,4,1,gemini-3-1-pro-preview,0.13333333333333333,30,4,1052.967807
259,40,8.661636327102803,12.081114666666666,mini_swe_agent_gemini_3_1_pro_preview_high,214,mini-swe-agent,0,9.255754185328184,gemini-3-1-pro-preview,259,0.17374517374517376,1.0,vertex_ai,0.0,1.0,53.272007422222224,0.773218332642988,41.19089275555555,high,common,45,1,gemini-3-1-pro-preview,0.38461538461538464,65,25,2397.240334
76,40,9.38475554296875,10.2671825875,mini_swe_agent_gemini_3_5_flash_medium,64,mini-swe-agent,0,9.524086128947369,gemini-3-5-flash,76,0.15789473684210525,1.0,vertex_ai,0.0,1.0,60.31921215,0.8297858638808497,50.052029562499996,medium,rare,12,1,gemini-3-5-flash,0.5263157894736842,19,10,723.8305458
128,40,6.753606439285715,6.91039221,mini_swe_agent_gemini_3_5_flash_medium,98,mini-swe-agent,0,6.790353104296876,gemini-3-5-flash,128,0.234375,1.0,vertex_ai,0.0,1.0,28.972173245000004,0.7614817448603863,22.061781035000003,medium,contested,30,1,gemini-3-5-flash,0.53125,32,17,869.1651973500001
248,40,7.669968039669421,6.279075318897638,mini_swe_agent_gemini_3_5_flash_medium,121,mini-swe-agent,0,6.957696364112903,gemini-3-5-flash,248,0.5120967741935484,1.0,vertex_ai,0.0,1.0,13.586682663779529,0.537850741473715,7.307607344881889,medium,common,127,1,gemini-3-5-flash,0.7741935483870968,62,48,1725.5086983
72,39,3.6834412332203392,3.2577323107692306,mini_swe_agent_glm_5_2_high,59,mini-swe-agent,0,3.6065771222222223,glm-5-2,72,0.18055555555555555,1.0,zai,0.0,1.0,19.974888676923076,0.8369086124353285,16.717156366153848,high,rare,13,2,glm-5-2,0.4444444444444444,18,8,259.6735528
72,39,4.741299584126984,6.0314334177777775,mini_swe_agent_glm_5_2_max,63,mini-swe-agent,0,4.902566313333334,glm-5-2,72,0.125,2.0,zai,0.0,2.0,39.22053050666667,0.8462174442859062,33.189097088888886,max,rare,9,2,glm-5-2,0.3333333333333333,18,6,352.98477456
140,39,3.197281926597938,2.498947351627907,mini_swe_agent_glm_5_2_high,97,mini-swe-agent,0,2.98279345,glm-5-2,140,0.30714285714285716,2.0,zai,-1.0,1.0,9.711420534883722,0.7426795243135017,7.212473183255814,high,contested,43,2,glm-5-2,0.5714285714285714,35,20,417.591083
139,39,3.8939830301123597,4.3368807368,mini_swe_agent_glm_5_2_max,89,mini-swe-agent,0,4.053298751942446,glm-5-2,139,0.3597122302158273,1.0,zai,1.0,2.0,11.2681705304,0.6151211303467867,6.9312897936,max,contested,50,2,glm-5-2,0.7428571428571429,35,26,563.40852652
