agent_seconds_per_success_ci_high,agent_seconds_per_success_ci_low,agent_seconds_per_success_defined_replicates,agent_steps_per_success_ci_high,agent_steps_per_success_ci_low,agent_steps_per_success_defined_replicates,cache_tokens_per_success_ci_high,cache_tokens_per_success_ci_low,cache_tokens_per_success_defined_replicates,config,input_tokens_per_success_ci_high,input_tokens_per_success_ci_low,input_tokens_per_success_defined_replicates,output_tokens_per_success_ci_high,output_tokens_per_success_ci_low,output_tokens_per_success_defined_replicates,total_tokens_per_success_ci_high,total_tokens_per_success_ci_low,total_tokens_per_success_defined_replicates,trial_seconds_per_success_ci_high,trial_seconds_per_success_ci_low,trial_seconds_per_success_defined_replicates
1771.25341343468,1356.0054269141506,10000,97.25185984228537,75.49230283911672,10000,8558391.18157117,5469372.946702253,10000,mini_swe_agent_claude_fable_5_high,8749735.84722716,5628199.752676733,10000,94113.01489238808,74625.99699431086,10000,17399184.296425585,11171450.093703855,10000,1907.0022472375315,1466.1262505387383,10000
1349.9299076961795,826.9918015029168,10000,75.87051678971183,52.82137582005623,10000,3666296.4493188085,1963582.7991260027,10000,mini_swe_agent_claude_fable_5_low,3790875.674720755,2065081.980777496,10000,49302.07984554597,36671.52092315627,10000,7505122.046815058,4067752.063273646,10000,1519.1311996972086,952.2003943567539,10000
3392.0945526685437,2677.0913447970624,10000,143.29257512850927,112.60434919947693,10000,20790622.81680005,15111606.779189872,10000,mini_swe_agent_claude_fable_5_max,21182531.07953256,15445130.659796985,10000,190369.94242062286,153602.08442767596,10000,42158562.103545174,30719115.515652724,10000,3532.263648290546,2789.5136995984044,10000
1461.0702994174617,1049.5226198400687,10000,85.19913419913419,64.16281318311754,10000,5677461.370644997,3317497.0297048716,10000,mini_swe_agent_claude_fable_5_medium,5840530.426505324,3446735.3701388887,10000,70856.90197519085,53947.06019736842,10000,11586933.523243709,6821142.853368911,10000,1600.4272989921449,1160.8468220873124,10000
2301.492599558682,1776.8916177222404,10000,110.78338709334014,86.82500378187902,10000,12274541.48356286,8502699.638003547,10000,mini_swe_agent_claude_fable_5_xhigh,12538260.845841767,8722881.388728408,10000,129244.09159207088,102869.66086395385,10000,24938228.987169374,17328729.25116059,10000,2473.2739695327223,1918.9233608567963,10000
2423.750214796887,1764.2258733331912,10000,163.02941904484567,121.35907224418094,10000,11226906.413624765,7746816.844618703,10000,mini_swe_agent_claude_opus_4_8_high,11456546.882601405,7918688.382007998,10000,113446.21400440099,83442.78123595506,10000,22800243.616938774,15751516.02674386,10000,2613.7378631722286,1913.8696642226957,10000
1980.6131042710574,1308.2383605814598,10000,163.53769886363636,109.30908201872515,10000,7433128.99168552,4515206.129824689,10000,mini_swe_agent_claude_opus_4_8_low,7625862.733465309,4641963.658823529,10000,87656.77835048598,58459.25097742291,10000,15146571.209323153,9216373.276355362,10000,2238.566589512795,1483.3583769593258,10000
6993.680745372157,5052.792018412537,10000,233.07389723654526,179.20126314934407,10000,33245073.166357454,24582149.846268006,10000,mini_swe_agent_claude_opus_4_8_max,33686359.21777956,24922218.212139275,10000,263810.1240845684,201313.74285004626,10000,67189755.71338864,49707447.504647925,10000,7152.636067168044,5188.936015523298,10000
2150.201536664592,1531.7307883792012,10000,158.9224392361111,115.56016472025163,10000,9437302.340146326,6297063.7363761775,10000,mini_swe_agent_claude_opus_4_8_medium,9644089.945020054,6452051.0371597875,10000,100435.92793477642,72584.78235031513,10000,19178295.640918843,12824407.270732619,10000,2349.901850510037,1684.34487887441,10000
4848.794810380587,3419.410090486777,10000,201.51002785961316,151.85714654078072,10000,21130744.24326342,15065678.832514523,10000,mini_swe_agent_claude_opus_4_8_xhigh,21474328.57914824,15329341.490171755,10000,183924.92731481482,138049.94368961352,10000,42787525.10925922,30533948.455057252,10000,5071.019320633663,3600.9585340235762,10000
12078.266199167469,7520.366311464138,10000,558.1096531100478,367.2774965245598,10000,54957291.05189568,33458184.55497916,10000,mini_swe_agent_claude_sonnet_4_6_high,55578965.248726845,33888315.550933726,10000,322152.5792491749,206286.92309852375,10000,110857071.31604166,67567610.1081583,10000,12527.454372044658,7815.236197463246,10000
4231.089671932258,3074.992463933375,10000,,,0,,,0,mini_swe_agent_claude_sonnet_5_high,,,0,,,0,,,0,4544.4336103715705,3307.542167032541,10000
3100.6884156321335,1927.7965476889058,10000,322.14380681818176,203.02393222162453,10000,19411994.6407177,11155216.927414251,10000,mini_swe_agent_claude_sonnet_5_low,19766289.634197097,11381736.044502858,10000,149434.94174171623,94105.66623218944,10000,39330999.35689265,22632198.345316764,10000,3629.1706105471967,2264.3652193696416,10000
10415.846597135009,7717.4493202017,10000,569.2029702970297,441.9870446029687,10000,155628793.61721697,115419001.375763,10000,mini_swe_agent_claude_sonnet_5_max,156540881.01321056,116126459.36205673,10000,456973.030513651,350457.46710076043,10000,312632320.15842026,231888734.43603027,10000,10673.66700189296,7929.382723329587,10000
3432.657686869169,2363.4968734036574,10000,327.8981189570636,228.62743456234168,10000,28937483.140856043,18705899.23258879,10000,mini_swe_agent_claude_sonnet_5_medium,29324825.99505186,18980956.73193549,10000,173374.4101274726,120367.90384298372,10000,58436647.16121416,37815644.95191557,10000,3822.570707041618,2634.893820792413,10000
5691.795965232287,4190.924500735267,10000,435.2568059635722,324.4591934454139,10000,72806669.96206385,51609532.34203668,10000,mini_swe_agent_claude_sonnet_5_xhigh,73381309.96460395,52041863.375207976,10000,283570.3630604907,210949.91997559424,10000,146454338.34163365,103860612.89981024,10000,5995.957611894345,4419.929450685385,10000
27954.75996390035,13581.304277524998,10000,1064.6948131955482,493.2536960467931,10000,65306034.98869949,27986034.88198294,10000,mini_swe_agent_gemini_3_1_pro_preview_high,87538040.94375,38722790.70902256,10000,2524834.7749999994,1189810.482805024,10000,155355477.40779215,67996584.56567165,10000,29064.08309400481,14179.010607807702,10000
5238.780868421165,3516.6737813042087,10000,279.6242013888888,191.32148609606358,10000,51631268.66422673,32249557.930218697,10000,mini_swe_agent_gemini_3_5_flash_medium,57907627.88316551,36481850.1221164,10000,906781.095610847,610219.0170591044,10000,110452783.40408738,69348475.18974023,10000,5592.215419360981,3756.5067768994227,10000
6072.372273354547,4103.076106023507,10000,412.8743853427896,278.80686743951617,10000,31171851.31431333,19481395.898412697,10000,mini_swe_agent_glm_5_2_high,31881293.784657706,19964801.07311508,10000,183441.20980789833,123792.47307005344,10000,63231118.97068014,39568600.848096676,10000,6444.424125585012,4358.791991861051,10000
7150.786788914847,5117.500475854485,10000,346.5552221414168,254.34413920382434,10000,33961508.632558145,23641918.970695186,10000,mini_swe_agent_glm_5_2_max,34663390.889156915,24154008.669614688,10000,209771.74806215081,154003.6960096624,10000,68833618.32226455,47945862.227733,10000,7435.7559582579115,5336.622494768034,10000
3092.0886424504533,2275.9026263780806,10000,159.0096153846154,117.5099049538281,10000,20260237.973687116,13650558.899883855,10000,mini_swe_agent_gpt_5_4_xhigh,22035027.377742466,15029701.03420127,10000,160066.7822337963,120573.1656918239,10000,42459663.784151725,28809593.43503673,10000,3324.1207147773325,2457.395369477887,10000
3613.9565795403137,2823.3245841383077,10000,108.52552316943756,86.10027477843569,10000,7631591.7225285545,5621226.779895312,10000,mini_swe_agent_gpt_5_5_high,8350916.983520599,6198572.858031746,10000,54151.37015325671,43700.195570899785,10000,16033567.512537982,11862087.082349354,10000,3749.5299798363226,2927.9973536375355,10000
2770.4287561649994,1673.9477406830556,10000,136.0215425531915,83.04677275960171,10000,3286384.7013309672,1885400.0053392658,10000,mini_swe_agent_gpt_5_5_low,3856532.7499650912,2235036.508917942,10000,45443.557008605065,28172.080210101867,10000,7188211.296668478,4148218.3596033105,10000,3166.5251242127347,1899.9536659425498,10000
2791.6589386169017,2066.1022219001993,10000,98.94368769406765,74.47490501519756,10000,4947021.447237929,3476783.9896873096,10000,mini_swe_agent_gpt_5_5_medium,5396319.264390697,3817321.2445734045,10000,42072.4447361225,31922.43927392183,10000,10386482.303652715,7329429.290384616,10000,2953.8730192494045,2187.0900719353726,10000
3039.42206272335,2403.0384888866997,10000,136.9793337649767,110.17672671840354,10000,13950249.191662429,10283462.359797763,10000,mini_swe_agent_gpt_5_5_xhigh,14506713.781660348,10748148.269993074,10000,76969.43647832636,62359.760960254716,10000,28532884.444515776,21088512.9997259,10000,3221.764571396632,2551.3210753729936,10000
1277.2176024175092,906.0301719844742,10000,131.43779845505617,94.823082721488,10000,8553709.695789818,5612160.73993994,10000,mini_swe_agent_gpt_5_6_luna_high,9390343.758606555,6233700.460831134,10000,68761.08587847829,50210.37523049645,10000,18000317.652484924,11894388.810554558,10000,1540.6440125638937,1101.020877642696,10000
18119.738179400007,2475.167114285714,9937,2871.0,401.1,9937,25186201.60000001,3422734.6285714284,9937,mini_swe_agent_gpt_5_6_luna_low,35116302.6,4812175.971428571,9937,717674.4,100900.58571428571,9937,61035286.9,8334086.028571429,9937,40826.3486478,5503.796809214285,9937
1898.587024182913,1475.4330517145797,10000,170.10959507042253,134.9886147234847,10000,25773330.169740874,18392493.480548296,10000,mini_swe_agent_gpt_5_6_luna_max,27046396.7033816,19442472.900905944,10000,121475.00842962186,98697.84158318816,10000,52924988.9095806,37941555.74319018,10000,2073.9565702568298,1620.6751350230327,10000
2436.7049304490265,1153.9590838724482,10000,318.973658008658,151.18045343137254,10000,6868765.672727271,3126662.4522875817,10000,mini_swe_agent_gpt_5_6_luna_medium,8453752.550238095,3879491.3707912643,10000,109478.73228609624,52553.208475855135,10000,15428743.644897504,7063236.373939233,10000,3773.885488312853,1780.6471322658442,10000
1517.58982598155,1103.8884248479724,10000,145.3839674109075,108.70849968376947,10000,15298637.790078029,10252440.294506906,10000,mini_swe_agent_gpt_5_6_luna_xhigh,16335290.824437706,11059946.351649081,10000,90335.08702898551,69284.37023762945,10000,31710036.42683031,21389094.020621818,10000,1721.1420104020692,1265.2248691878033,10000
979.1879392121799,754.0109567994258,10000,60.51231471523426,46.86102719033233,10000,4199542.24856338,2909260.8553846152,10000,mini_swe_agent_gpt_5_6_sol_high,4647321.70178546,3271449.853965257,10000,45701.80790584416,37105.77344937122,10000,8890430.01768745,6219229.477477235,10000,1150.0751784596061,882.3254984876589,10000
699.8088126259429,482.480241015235,10000,61.720093922651934,43.6679794490054,10000,1652601.6601245047,1068321.2353254808,10000,mini_swe_agent_gpt_5_6_sol_low,1895362.753383819,1237901.7478365384,10000,27741.148992544666,19928.552572379427,10000,3573047.53411895,2325551.9879849553,10000,964.3008916388094,659.9143404791023,10000
1743.1569803500474,1390.7739036674589,10000,94.96392167269211,75.27211410909477,10000,11965925.771669537,8663789.018093307,10000,mini_swe_agent_gpt_5_6_sol_max,12715725.437786631,9267595.022536745,10000,91443.30037333467,75221.86769340975,10000,24769593.346181545,18010248.820957456,10000,1901.823661651954,1515.8636566639664,10000
811.3159846463168,598.8527878545935,10000,58.56486723867027,44.29310012243861,10000,2748940.3155378485,1870099.873992674,10000,mini_swe_agent_gpt_5_6_sol_medium,2979952.918988569,2046975.978275317,10000,34375.51252204585,26854.283087388423,10000,5762014.927858321,3945146.7832962465,10000,1002.521137419907,741.0178319107615,10000
1287.7635167582227,998.8639903320197,10000,70.21183687714776,55.34231671791552,10000,6571067.358630678,4739474.419210419,10000,mini_swe_agent_gpt_5_6_sol_xhigh,7031000.715103448,5109524.911338774,10000,63993.89353571834,52257.11163365732,10000,13660543.371348938,9904048.945171958,10000,1450.2522002616236,1123.2186593220545,10000
791.9382688740859,586.07064322532,10000,72.35906936468871,54.35112525987526,10000,3076246.2292027874,2126129.376071089,10000,mini_swe_agent_gpt_5_6_terra_high,3479339.68124746,2433391.954296295,10000,45940.092233776486,35356.7630952381,10000,6600736.358393165,4595766.148811388,10000,1024.3456437345353,757.6372957848401,10000
991.338987797462,568.9755822257681,10000,119.86308939873416,70.13430348258707,10000,2285591.5382673545,1268195.490909091,10000,mini_swe_agent_gpt_5_6_terra_low,2731524.6194970533,1528245.4638461538,10000,47528.493063271606,28233.23740601504,10000,5061336.380120481,2824552.7156567993,10000,1572.7845318607872,898.9495417458467,10000
1649.295583252126,1301.6012867805762,10000,122.97483004301736,97.27293554884189,10000,14662533.40066445,10545084.980378658,10000,mini_swe_agent_gpt_5_6_terra_max,15576078.840163628,11300202.562172268,10000,115199.97974693746,93611.00370810533,10000,30359516.671783872,21939314.10878286,10000,1818.7595758035104,1437.5364449621432,10000
823.0091045674428,536.5191352516638,10000,89.64225433175812,59.42921899639558,10000,2267166.0107807973,1434390.6269503545,10000,mini_swe_agent_gpt_5_6_terra_medium,2620995.06286984,1672182.1409998545,10000,41381.95753655793,27968.160939716312,10000,4929169.7078944035,3134650.6922849463,10000,1212.3777398839254,781.825418791129,10000
1125.2341763566906,846.1551284893347,10000,82.73950433832069,62.58765724786765,10000,5927654.277735847,3997745.0834145676,10000,mini_swe_agent_gpt_5_6_terra_xhigh,6528343.704754464,4468161.428205993,10000,75116.76279438136,58352.85880178598,10000,12526591.359672848,8523431.767408615,10000,1323.5276246650985,996.5369042389735,10000
8870.763620207967,5799.723041949435,10000,613.5852585002328,399.5889870295944,10000,54656394.49579073,33305942.51345395,10000,mini_swe_agent_kimi_k2_7_code_default,55285440.599378236,33712191.62847974,10000,243572.9025181488,158690.55546620046,10000,110182842.95394605,67183430.21932906,10000,9140.185036099765,5983.6426471083105,10000
